run,variant,threshold,precision,recall,f1,accuracy,tp,fp,fn,tn,rows
run_19,address_only,0.97,0.9999876356410689,0.9593820759861509,0.9792641053383155,0.9797725193574761,16660585,206,705369,17515841,34882001
run_20,address_only,0.972,0.9999876356410689,0.9593820759861509,0.9792641053383155,0.9797725193574761,16660585,206,705369,17515841,34882001
run_21,address_only,0.971,0.9999876356410689,0.9593820759861509,0.9792641053383155,0.9797725193574761,16660585,206,705369,17515841,34882001
run_22,address_only,0.971,0.9999876356410689,0.9593820759861509,0.9792641053383155,0.9797725193574761,16660585,206,705369,17515841,34882001
run_23,address_only,0.971,0.9999876356410689,0.9593820759861509,0.9792641053383155,0.9797725193574761,16660585,206,705369,17515841,34882001
run_24,address_only,0.972,0.9999876356410689,0.9593820759861509,0.9792641053383155,0.9797725193574761,16660585,206,705369,17515841,34882001
run_25,address_only,0.971,0.9999876356410689,0.9593820759861509,0.9792641053383155,0.9797725193574761,16660585,206,705369,17515841,34882001
run_26,address_only,0.971,0.9999876356410689,0.9593820759861509,0.9792641053383155,0.9797725193574761,16660585,206,705369,17515841,34882001
run_27,address_only,0.97,0.9999876356410689,0.9593820759861509,0.9792641053383155,0.9797725193574761,16660585,206,705369,17515841,34882001
run_28,address_only,0.971,0.9999876356410689,0.9593820759861509,0.9792641053383155,0.9797725193574761,16660585,206,705369,17515841,34882001
run_29,address_only,0.97,0.9999876356410689,0.9593820759861509,0.9792641053383155,0.9797725193574761,16660585,206,705369,17515841,34882001
run_00,no_type,0.9550000000000001,0.999985474943828,0.9593842641757545,0.9792642092109756,0.9797725766936364,16660623,242,705331,17515805,34882001
run_01,no_type,0.9550000000000001,0.999985474943828,0.9593842641757545,0.9792642092109756,0.9797725766936364,16660623,242,705331,17515805,34882001
run_02,no_type,0.9560000000000001,0.999985474943828,0.9593842641757545,0.9792642092109756,0.9797725766936364,16660623,242,705331,17515805,34882001
run_03,no_type,0.9570000000000001,0.999985474943828,0.9593842641757545,0.9792642092109756,0.9797725766936364,16660623,242,705331,17515805,34882001
run_04,no_type,0.9540000000000001,0.999985474943828,0.9593842641757545,0.9792642092109756,0.9797725766936364,16660623,242,705331,17515805,34882001
run_05,no_type,0.9570000000000001,0.999985474943828,0.9593842641757545,0.9792642092109756,0.9797725766936364,16660623,242,705331,17515805,34882001
run_06,no_type,0.9550000000000001,0.999985474943828,0.9593842641757545,0.9792642092109756,0.9797725766936364,16660623,242,705331,17515805,34882001
run_07,no_type,0.9550000000000001,0.999985474943828,0.9593842641757545,0.9792642092109756,0.9797725766936364,16660623,242,705331,17515805,34882001
run_08,no_type,0.9560000000000001,0.999985474943828,0.9593842641757545,0.9792642092109756,0.9797725766936364,16660623,242,705331,17515805,34882001
run_09,no_type,0.9530000000000001,0.999985474943828,0.9593842641757545,0.9792642092109756,0.9797725766936364,16660623,242,705331,17515805,34882001
run_10,no_type,0.9540000000000001,0.999985474943828,0.9593842641757545,0.9792642092109756,0.9797725766936364,16660623,242,705331,17515805,34882001
run_11,no_type,0.9550000000000001,0.999985474943828,0.9593842641757545,0.9792642092109756,0.9797725766936364,16660623,242,705331,17515805,34882001
run_12,no_type,0.9540000000000001,0.999985474943828,0.9593842641757545,0.9792642092109756,0.9797725766936364,16660623,242,705331,17515805,34882001
run_13,no_type,0.9550000000000001,0.999985474943828,0.9593842641757545,0.9792642092109756,0.9797725766936364,16660623,242,705331,17515805,34882001
run_14,no_type,0.9560000000000001,0.999985474943828,0.9593842641757545,0.9792642092109756,0.9797725766936364,16660623,242,705331,17515805,34882001
run_15,no_type,0.9570000000000001,0.999985474943828,0.9593842641757545,0.9792642092109756,0.9797725766936364,16660623,242,705331,17515805,34882001
run_16,no_type,0.9530000000000001,0.999985474943828,0.9593842641757545,0.9792642092109756,0.9797725766936364,16660623,242,705331,17515805,34882001
run_17,no_type,0.9540000000000001,0.999985474943828,0.9593842641757545,0.9792642092109756,0.9797725766936364,16660623,242,705331,17515805,34882001
run_18,no_type,0.9510000000000001,0.999985474943828,0.9593842641757545,0.9792642092109756,0.9797725766936364,16660623,242,705331,17515805,34882001
run_19,no_type,0.9530000000000001,0.999985474943828,0.9593842641757545,0.9792642092109756,0.9797725766936364,16660623,242,705331,17515805,34882001
run_20,no_type,0.9560000000000001,0.999985474943828,0.9593842641757545,0.9792642092109756,0.9797725766936364,16660623,242,705331,17515805,34882001
run_21,no_type,0.9540000000000001,0.999985474943828,0.9593842641757545,0.9792642092109756,0.9797725766936364,16660623,242,705331,17515805,34882001
run_22,no_type,0.9550000000000001,0.999985474943828,0.9593842641757545,0.9792642092109756,0.9797725766936364,16660623,242,705331,17515805,34882001
run_23,no_type,0.9540000000000001,0.999985474943828,0.9593842641757545,0.9792642092109756,0.9797725766936364,16660623,242,705331,17515805,34882001
run_24,no_type,0.9570000000000001,0.999985474943828,0.9593842641757545,0.9792642092109756,0.9797725766936364,16660623,242,705331,17515805,34882001
run_25,no_type,0.9550000000000001,0.999985474943828,0.9593842641757545,0.9792642092109756,0.9797725766936364,16660623,242,705331,17515805,34882001
run_26,no_type,0.9550000000000001,0.999985474943828,0.9593842641757545,0.9792642092109756,0.9797725766936364,16660623,242,705331,17515805,34882001
run_27,no_type,0.9530000000000001,0.999985474943828,0.9593842641757545,0.9792642092109756,0.9797725766936364,16660623,242,705331,17515805,34882001
run_28,no_type,0.9550000000000001,0.999985474943828,0.9593842641757545,0.9792642092109756,0.9797725766936364,16660623,242,705331,17515805,34882001
run_29,no_type,0.9530000000000001,0.999985474943828,0.9593842641757545,0.9792642092109756,0.9797725766936364,16660623,242,705331,17515805,34882001
run_00,suffix_only,0.9580000000000001,0.9998938434926631,0.9594811779416207,0.9792707493725614,0.9797770489141377,16662306,1769,703648,17514278,34882001
run_01,suffix_only,0.9570000000000001,0.9998938434926631,0.9594811779416207,0.9792707493725614,0.9797770489141377,16662306,1769,703648,17514278,34882001
run_02,suffix_only,0.9580000000000001,0.9998938434926631,0.9594811779416207,0.9792707493725614,0.9797770489141377,16662306,1769,703648,17514278,34882001
